2^0,0.000184
2^1,0.000153
2^2,0.000184
2^3,0.000214
2^4,0.000224
2^5,0.000357
2^6,0.000561
2^7,0.000980
2^8,0.001837
2^9,0.003459
2^10,0.006724
2^11,0.013296
2^12,0.026755
2^13,0.053316
2^14,0.106327
2^15,0.216153
2^16,0.466551
2^17,0.948000
2^18,1.898357
2^19,3.792847
2^20,7.570888
